Length,Beam,DWT,BHP
334,58,306307,34626
333,60,320105,39891
333,60,306352,36736
333,60,265253,29911
333,60,300390,36928
333,58,309020,36902
333,58,308491,36959
333,60,309373,39071
330,60,281050,36750
274,50,164626,25321
274,48,159999,25329
274,48,159999,25329
274,46,147467,19101
274,47,147436,22921
274,48,160373,22928
274,44,147048,17580
274,44,147048,17580
274,48,149989,22385
274,48,159196,25353
274,48,150000,22385
274,48,159211,22942
274,48,149991,22379
250,44,109989,29694
250,44,109989,29694
249,46,109985,21862
249,46,109985,21862
249,44,115418,18426
249,44,115338,18401
249,44,113333,18355
249,44,115482,18421
246,42,107181,17837
244,42,103967,16680
244,42,105501,16681
244,41,105351,17797
244,41,105351,17797
244,42,109316,21140
244,42,105034,18420
244,42,104592,18420
244,42,104592,18420
244,42,104592,18420
244,42,105476,16680
244,42,109672,20747
244,42,109672,20747
244,42,109571,21134
244,42,109647,20753
244,42,109647,20753
244,42,105033,18168
243,42,105857,15405
243,42,104592,18420
243,42,105034,18420
242,42,105148,16664
241,21,106532,16644
241,42,106644,16100
239,42,105317,16091
239,42,108468,16314
229,32,72247,15353
228,32,73083,16681
228,40,72910,15659
228,32,72291,15353
195,32,52610,13848
184,27,37434,10686
183,32,46803,12890
183,32,46803,12890
183,32,46803,12890
183,32,47120,12889
183,32,46803,12874
183,32,47128,12889
183,32,50944,12889
183,32,50995,12889
182,32,47629,11665
182,27,37217,12900
182,32,46746,11298
182,32,46720,11298
182,27,37258,13542
182,27,37258,13542
182,32,47355,11665
182,32,47358,11298
181,32,46228,11302
180,32,44970,11641
179,32,45744,11666
179,32,46646,12889
179,32,47991,13542
179,32,46866,12889
179,32,45908,12601
179,32,46843,12900
179,32,45737,11665
176,31,40165,11640
176,31,40165,11665
176,31,40165,12889
175,31,40165,11640
175,31,40083,11640
175,32,40112,12889
171,27,35190,9721
112,18,8143,5873
